mode,rho,n,S_dir,lynn_metric,phi_direct,input_added
half_normal,0.5,13,0.5194420218467712,0.14882283721586215,0.17259943416191342,6
half_normal,0.5,14,0.5187318921089172,0.14998648241600637,0.17394898848346424,25
half_normal,0.5,15,0.5181300640106201,0.1509726604910321,0.17509272274439244,26
half_normal,0.5,16,0.5176262855529785,0.15179817075052673,0.17605012018654015,18
half_normal,0.5,17,0.5171878933906555,0.15251653657619912,0.17688325532461355,2
half_normal,0.5,18,0.5168538689613342,0.15306388152345515,0.1775180465297479,17
half_normal,0.5,19,0.5165613889694214,0.1535431501987202,0.17807388529555704,15
half_normal,0.5,20,0.5163032412528992,0.15396616072094824,0.1785644778561275,5
half_normal,0.5,21,0.5161488056182861,0.15421922473921026,0.17885797250503954,1
half_normal,0.5,22,0.5160818696022034,0.15432890860355153,0.17898517995032254,14
half_normal,0.5,23,0.5160132050514221,0.15444142490962556,0.17911567236079984,7
half_normal,0.5,24,0.5159540176391602,0.1545384116213717,0.1792281541000394,28
half_normal,0.5,25,0.5159013867378235,0.1546246545886142,0.17932817562647296,3
half_normal,0.5,26,0.5158530473709106,0.1547038652867271,0.17942004137725168,27
half_normal,0.5,27,0.51581209897995,0.1547709648546723,0.1794978610699582,12
half_normal,0.5,28,0.5157803297042847,0.15482302318031246,0.17955823646473631,31
half_normal,0.5,29,0.5157634615898132,0.1548506639048081,0.1795902931940463,29
half_normal,0.5,30,0.5157603621482849,0.15485574276584615,0.17959618347646367,21
half_normal,0.5,31,0.5157582759857178,0.15485916123000637,0.1796001480896292,19
half_normal,0.5,32,0.5157577991485596,0.154859942593243,0.1796010542869242,10
exponential,0.5,0,0.6097977161407471,0.0,0.0,-1
exponential,0.5,1,0.532250702381134,0.12716842275236476,0.13589530094551713,24
exponential,0.5,2,0.5033660531044006,0.1745360145162974,0.1865134732756,8
exponential,0.5,3,0.48793765902519226,0.19983685391079484,0.2135505718671644,23
exponential,0.5,4,0.4801529347896576,0.21260293031528218,0.22719271476186356,22
exponential,0.5,5,0.4748590290546417,0.2212843431754674,0.23646988583730036,16
exponential,0.5,6,0.47106313705444336,0.22750918118276858,0.24312190066952452,20
exponential,0.5,7,0.4682827591896057,0.232068689674263,0.24799430346578988,11
exponential,0.5,8,0.46601900458335876,0.23578099384715115,0.25196136291228716,14
exponential,0.5,9,0.46337980031967163,0.2401089934342765,0.2565863696054172,30
exponential,0.5,10,0.46188369393348694,0.24256244044889172,0.259208183363808,9
exponential,0.5,11,0.46065622568130493,0.24457535099232625,0.2613592290255846,4
exponential,0.5,12,0.45946770906448364,0.24652438521361375,0.26344201488014185,10
exponential,0.5,13,0.4583515524864197,0.24835475707057617,0.26539799521677365,18
exponential,0.5,14,0.4574306309223175,0.24986496535723626,0.26701184089610347,26
exponential,0.5,15,0.45663824677467346,0.25116438666805857,0.26840043443424205,17
exponential,0.5,16,0.45597144961357117,0.25225785937786516,0.26956894623739813,13
exponential,0.5,17,0.45540112257003784,0.25319313189272924,0.27056840142542876,2
exponential,0.5,18,0.45480069518089294,0.25417776560527383,0.2716206052020527,19
exponential,0.5,19,0.4543112814426422,0.25498034935607583,0.2724782659167854,21
exponential,0.5,20,0.4539201557636261,0.2556217516910853,0.27316368421054693,28
exponential,0.5,21,0.4535697400569916,0.25619639422804363,0.2737777613438941,6
exponential,0.5,22,0.45321255922317505,0.25678213081636186,0.2744036938530934,12
exponential,0.5,23,0.452877938747406,0.25733087094265616,0.27499009103401034,0
exponential,0.5,24,0.45251908898353577,0.2579193443894597,0.2756189482174287,31
exponential,0.5,25,0.4522079527378082,0.25842957300706854,0.27616419105397777,25
exponential,0.5,26,0.45200619101524353,0.25876043964894707,0.2765177632765292,15
exponential,0.5,27,0.45183056592941284,0.25904844513204756,0.27682553301175755,1
exponential,0.5,28,0.4516705274581909,0.25931089031179466,0.2771059883788331,29
exponential,0.5,29,0.4515898525714874,0.25944318809607314,0.27724736504152836,7
exponential,0.5,30,0.4515208601951599,0.2595563278709548,0.27736826898469036,3
exponential,0.5,31,0.4514993131160736,0.2595916626688984,0.27740602861791114,5
exponential,0.5,32,0.451498806476593,0.25959249350093855,0.2774069164654419,27
chi2,0.5,0,0.6106755137443542,0.0,0.0,-1
chi2,0.5,1,0.5671350955963135,0.07129877843156489,0.07338057880237814,24
chi2,0.5,2,0.5422537326812744,0.11204277807628471,0.11531423239958757,8
chi2,0.5,3,0.5254510045051575,0.13955776401880446,0.14363260809433204,23
chi2,0.5,4,0.5142467617988586,0.1579050572279264,0.16251561036672815,22
chi2,0.5,5,0.5058625340461731,0.17163448892116343,0.17664591759554638,16
chi2,0.5,6,0.4995962083339691,0.1818957906618899,0.18720683150689896,20
chi2,0.5,7,0.49514535069465637,0.18918420740554207,0.19470805734789268,9
chi2,0.5,8,0.49152734875679016,0.19510879723506128,0.20080563489999745,4
chi2,0.5,9,0.4886755049228668,0.19977877952473466,0.20561197255334182,11
chi2,0.5,10,0.4862712621688843,0.20371580123245134,0.20966394845005473,30
chi2,0.5,11,0.48467954993247986,0.20632227914188123,0.21234653098284192,18
chi2,0.5,12,0.4833872616291046,0.2084384411203624,0.21452448121195533,0
chi2,0.5,13,0.48225849866867065,0.2102868253031716,0.21642683499931914,6
chi2,0.5,14,0.4812804162502289,0.21188846544827036,0.21807524025205824,13
chi2,0.5,15,0.48047497868537903,0.2132073943175668,0.21943267955126072,26
chi2,0.5,16,0.4797830879688263,0.21434038671857272,0.22059875336056603,25
chi2,0.5,17,0.4792267382144928,0.21525142661097357,0.22153639403389958,2
chi2,0.5,18,0.47876787185668945,0.21600283443309143,0.22230974165803266,17
chi2,0.5,19,0.47844475507736206,0.21653194813104568,0.22285430455605507,15
chi2,0.5,20,0.4781336188316345,0.21704144333549527,0.223378676134671,14
chi2,0.5,21,0.4778529107570648,0.21750111147062082,0.2238517657801675,5
chi2,0.5,22,0.4776534140110016,0.2178277935490294,0.2241879864072992,1
chi2,0.5,23,0.4775639772415161,0.21797424901919732,0.22433871812256995,10
chi2,0.5,24,0.47752758860588074,0.21803383653305106,0.2244000454882299,19
chi2,0.5,25,0.47750914096832275,0.21806404510887042,0.22443113610194285,3
chi2,0.5,26,0.47749224305152893,0.2180917159691121,0.22445961490319527,27
chi2,0.5,27,0.4774777591228485,0.21811543384931922,0.22448402530426878,7
chi2,0.5,28,0.4774682819843292,0.21813095295612142,0.22449999754200822,21
chi2,0.5,29,0.477463960647583,0.21813802927840545,0.22450728048060012,28
chi2,0.5,30,0.4774620532989502,0.21814115262065495,0.22451049501901307,29
chi2,0.5,31,0.47746095061302185,0.21814295830289296,0.22451235342403308,12
chi2,0.5,32,0.4774603843688965,0.21814388554512326,0.22451330774012443,31
