generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,binary,0.5,63,365,x_13*x_22*,PRODUCT,True,0.3020796477794647,0.5037813736371761
interaction,binary,0.5,64,233,x_7*x_13*,PRODUCT,True,0.300245076417923,0.5067949777898578
interaction,binary,0.5,65,229,x_7*x_9*,PRODUCT,True,0.29847609996795654,0.5097008308339906
interaction,binary,0.5,66,491,x_22*x_31*,PRODUCT,True,0.2968330383300781,0.5123998467887918
interaction,binary,0.5,67,356,x_12*x_31*,PRODUCT,True,0.29522332549095154,0.5150440815121226
interaction,binary,0.5,68,304,x_10*x_18*,PRODUCT,True,0.29368337988853455,0.5175737113535301
interaction,binary,0.5,69,441,x_18*x_23*,PRODUCT,True,0.29212409257888794,0.5201351133300801
interaction,binary,0.5,70,136,x_3*x_18*,PRODUCT,True,0.29042738676071167,0.5229222492282651
interaction,binary,0.5,71,135,x_3*x_17*,PRODUCT,True,0.28835588693618774,0.5263250497975591
interaction,binary,0.5,72,497,x_23*x_29*,PRODUCT,True,0.2867203950881958,0.5290116310492383
interaction,binary,0.5,73,489,x_22*x_29*,PRODUCT,True,0.28454095125198364,0.5325917485268303
interaction,binary,0.5,74,150,x_4*x_5*,PRODUCT,True,0.28283271193504333,0.5353978302128429
interaction,binary,0.5,75,154,x_4*x_9*,PRODUCT,True,0.2807091772556305,0.5388861071272194
interaction,binary,0.5,76,241,x_7*x_21*,PRODUCT,True,0.2790828347206116,0.5415576590329991
interaction,binary,0.5,77,238,x_7*x_18*,PRODUCT,True,0.27713900804519653,0.5447507341370394
interaction,binary,0.5,78,77,x_1*x_16*,PRODUCT,True,0.2754920423030853,0.547456163265498
interaction,binary,0.5,79,422,x_16*x_31*,PRODUCT,True,0.2733343541622162,0.5510005432104954
interaction,binary,0.5,80,341,x_12*x_16*,PRODUCT,True,0.2715012729167938,0.554011699586972
interaction,binary,0.5,81,281,x_9*x_16*,PRODUCT,True,0.2696562707424164,0.5570424381730895
interaction,binary,0.5,82,180,x_5*x_9*,PRODUCT,True,0.2676028311252594,0.5604155716947776
interaction,binary,0.5,83,103,x_2*x_13*,PRODUCT,True,0.2659366726875305,0.5631525281807579
interaction,binary,0.5,84,131,x_3*x_13*,PRODUCT,True,0.26414725184440613,0.5660919647144248
interaction,binary,0.5,85,94,x_2*x_4*,PRODUCT,True,0.262319415807724,0.5690945049186594
interaction,binary,0.5,86,122,x_3*x_4*,PRODUCT,True,0.2600667178630829,0.5727949550744946
interaction,binary,0.5,87,459,x_19*x_29*,PRODUCT,True,0.2583613693714142,0.5755962880746693
interaction,binary,0.5,88,515,x_26*x_29*,PRODUCT,True,0.2562541663646698,0.5790577373618377
interaction,binary,0.5,89,168,x_4*x_23*,PRODUCT,True,0.25457340478897095,0.5818186820546281
interaction,binary,0.5,90,212,x_6*x_16*,PRODUCT,True,0.2528839707374573,0.5845938728049322
interaction,binary,0.5,91,35,x_0*x_4*,PRODUCT,True,0.2511439025402069,0.5874522389906859
interaction,binary,0.5,92,359,x_13*x_16*,PRODUCT,True,0.24932405352592468,0.5904416591144611
interaction,binary,0.5,93,306,x_10*x_20*,PRODUCT,True,0.2475905567407608,0.5932892306071503
interaction,binary,0.5,94,462,x_20*x_21*,PRODUCT,True,0.24574151635169983,0.5963266026667836
interaction,binary,0.5,95,264,x_8*x_21*,PRODUCT,True,0.24383683502674103,0.5994553746899157
interaction,binary,0.5,96,271,x_8*x_28*,PRODUCT,True,0.24173401296138763,0.6029096275150411
interaction,binary,0.5,97,51,x_0*x_20*,PRODUCT,True,0.23984462022781372,0.6060132853543088
interaction,binary,0.5,98,151,x_4*x_6*,PRODUCT,True,0.23794279992580414,0.6091373576471271
interaction,binary,0.5,99,91,x_1*x_30*,PRODUCT,True,0.236072838306427,0.61220909648468
interaction,binary,0.5,100,355,x_12*x_30*,PRODUCT,True,0.2336367517709732,0.616210794458078
interaction,binary,0.5,101,124,x_3*x_6*,PRODUCT,True,0.23163913190364838,0.6194922342831227
interaction,binary,0.5,102,207,x_6*x_11*,PRODUCT,True,0.22978274524211884,0.6225416738794473
interaction,binary,0.5,103,11,x_11,LINEAR,False,0.22731070220470428,0.6266024366926745
interaction,binary,0.5,104,295,x_9*x_30*,PRODUCT,True,0.22546446323394775,0.6296352069330422
interaction,binary,0.5,105,406,x_15*x_30*,PRODUCT,True,0.22349408268928528,0.6328719014090575
interaction,binary,0.5,106,448,x_18*x_30*,PRODUCT,True,0.2214938998222351,0.636157551409175
interaction,binary,0.5,107,46,x_0*x_15*,PRODUCT,True,0.21940883994102478,0.6395826267419354
interaction,binary,0.5,108,49,x_0*x_18*,PRODUCT,True,0.21657022833824158,0.6442455425016195
interaction,binary,0.5,109,8,x_8,LINEAR,False,0.21459370851516724,0.6474923218155998
interaction,binary,0.5,110,30,x_30,LINEAR,False,0.21270105242729187,0.6506013402847567
interaction,binary,0.5,111,184,x_5*x_13*,PRODUCT,True,0.21083296835422516,0.6536699949242912
interaction,binary,0.5,112,319,x_11*x_13*,PRODUCT,True,0.20872241258621216,0.6571369517079212
interaction,binary,0.5,113,187,x_5*x_16*,PRODUCT,True,0.2067180871963501,0.6604294065258889
interaction,binary,0.5,114,322,x_11*x_16*,PRODUCT,True,0.20425471663475037,0.6644759232816023
interaction,binary,0.5,115,20,x_20,LINEAR,False,0.202274352312088,0.6677290178581919
interaction,binary,0.5,116,263,x_8*x_20*,PRODUCT,True,0.19966542720794678,0.6720146333936204
interaction,binary,0.5,117,510,x_25*x_29*,PRODUCT,True,0.1975076049566269,0.6755592336384764
interaction,binary,0.5,118,416,x_16*x_25*,PRODUCT,True,0.194925457239151,0.6798008626354991
interaction,binary,0.5,119,23,x_23,LINEAR,False,0.19282850623130798,0.6832454712223763
interaction,binary,0.5,120,495,x_23*x_27*,PRODUCT,True,0.19059030711650848,0.6869221045157359
interaction,gaussian,0.5,1,267,x_8*x_24*,PRODUCT,True,0.44855421781539917,0.2653463287773134
interaction,gaussian,0.5,2,498,x_23*x_30,PRODUCT,False,0.38567858934402466,0.36832565536105993
interaction,gaussian,0.5,3,411,x_16*x_20,PRODUCT,False,0.3539879620075226,0.42022938247235586
