mode,rho,n,feature_idx,label,feat_type,S_dir,lynn_metric
uniform,0.5,17,17,x_17,LINEAR,0.1601998656988144,0.7373246588269879
uniform,0.5,18,114,x_2*x_24,PRODUCT,0.15949305891990662,0.7384835905837851
uniform,0.5,19,389,x_14*x_29,PRODUCT,0.15776532888412476,0.7413165023008093
uniform,0.5,20,417,x_16*x_26,PRODUCT,0.15709398686885834,0.7424172834539934
uniform,0.5,21,248,x_7*x_28,PRODUCT,0.1553388386964798,0.7452951519401974
uniform,0.5,22,327,x_11*x_21,PRODUCT,0.15467114746570587,0.746389947001833
uniform,0.5,23,153,x_4*x_8,PRODUCT,0.15324603021144867,0.7487266728120615
uniform,0.5,24,211,x_6*x_15,PRODUCT,0.15263678133487701,0.7497256415428694
uniform,0.5,25,79,x_1*x_18,PRODUCT,0.15133965015411377,0.7518525120865297
uniform,0.5,26,193,x_5*x_22,PRODUCT,0.15080437064170837,0.7527301952726589
uniform,0.5,27,511,x_25*x_30,PRODUCT,0.14970190823078156,0.7545378727551424
uniform,0.5,28,19,x_19,LINEAR,0.14918771386146545,0.7553809832084513
uniform,0.5,29,20,x_20,LINEAR,0.14787507057189941,0.7575332885329356
uniform,0.5,30,64,x_1*x_3,PRODUCT,0.1473854035139084,0.7583361822242498
lognormal,0.5,1,413,x_16*x_22,PRODUCT,0.40652722120285034,0.33187762274274407
lognormal,0.5,2,130,x_3*x_12,PRODUCT,0.3460231423377991,0.4313153157106833
lognormal,0.5,3,390,x_14*x_30,PRODUCT,0.3145064115524292,0.4831126665335724
lognormal,0.5,4,289,x_9*x_24,PRODUCT,0.2948443591594696,0.5154270024534933
lognormal,0.5,5,394,x_15*x_18,PRODUCT,0.2811599671840668,0.5379171286272683
lognormal,0.5,6,264,x_8*x_21,PRODUCT,0.27128615975379944,0.5541446070071203
lognormal,0.5,7,453,x_19*x_23,PRODUCT,0.26035812497138977,0.572104694786655
lognormal,0.5,8,90,x_1*x_29,PRODUCT,0.2503916025161743,0.5884845491444121
lognormal,0.5,9,313,x_10*x_27,PRODUCT,0.2387540191411972,0.6076107711155098
lognormal,0.5,10,199,x_5*x_28,PRODUCT,0.2287304699420929,0.6240843482099178
lognormal,0.5,11,51,x_0*x_20,PRODUCT,0.21663226187229156,0.6439676010760653
lognormal,0.5,12,116,x_2*x_26,PRODUCT,0.2059100717306137,0.6615893857764005
lognormal,0.5,13,360,x_13*x_17,PRODUCT,0.19390694797039032,0.6813163687751401
lognormal,0.5,14,156,x_4*x_11,PRODUCT,0.18240585923194885,0.7002182635270783
lognormal,0.5,15,245,x_7*x_25,PRODUCT,0.1724095195531845,0.716647122116881
lognormal,0.5,16,31,x_31,LINEAR,0.16120636463165283,0.7350593663863001
lognormal,0.5,17,6,x_6,LINEAR,0.15565453469753265,0.7441837290863847
lognormal,0.5,18,10,x_10,LINEAR,0.15226265788078308,0.7497582359926264
lognormal,0.5,19,27,x_27,LINEAR,0.1467326581478119,0.7588467210315682
lognormal,0.5,20,19,x_19,LINEAR,0.1446990817785263,0.7621888782287202
lognormal,0.5,21,23,x_23,LINEAR,0.14064237475395203,0.7688560252233917
lognormal,0.5,22,44,x_0*x_13,PRODUCT,0.13917845487594604,0.7712619591387481
lognormal,0.5,23,425,x_17*x_20,PRODUCT,0.13651494681835175,0.7756394011462435
lognormal,0.5,24,436,x_17*x_31,PRODUCT,0.13546442985534668,0.7773659125680256
