mode,S_tot,S_true,I_recoverable,S_dir_linear_n32,I_captured_linear,lynn_linear,S_dir_combined_n30,I_captured_combined,lynn_combined,n_linear_selected,n_product_selected
binary,0.6097777485847473,0.2949128746986389,0.3148648738861084,0.29525652527809143,0.3145212233066559,0.5157964914866741,0.31524357199668884,0.29453417658805847,0.483018898724416,30,0
gaussian,0.6094648241996765,0.03468630835413933,0.5747785158455372,0.03387750685214996,0.5755873173475266,0.9444143361405041,0.09639536589384079,0.5130694583058357,0.8418360468622236,19,11
uniform,0.6098778247833252,0.12397388368844986,0.48590394109487534,0.12468566000461578,0.4851921647787094,0.7955563312227107,0.1473854035139084,0.4624924212694168,0.7583361822242498,4,26
lognormal,0.6084622144699097,0.0938505083322525,0.5146117061376572,0.09460960328578949,0.5138526111841202,0.8445103064153079,0.1284041702747345,0.48005804419517517,0.7889693604284043,9,21
half_normal,0.6110526323318481,0.12002767622470856,0.4910249561071396,0.1208346039056778,0.49021802842617035,0.8022517251180822,0.2164023369550705,0.39465029537677765,0.6458531957725901,2,28
exponential,0.6078974604606628,0.07660353183746338,0.5312939286231995,0.07667243480682373,0.5312250256538391,0.8738727502682416,0.14408805966377258,0.46380940079689026,0.7629730850420348,4,26
chi2,0.6095148921012878,0.07298359274864197,0.5365312993526459,0.0733065977692604,0.5362082943320274,0.8797296034613072,0.2561184763908386,0.3533964157104492,0.5797994770761443,17,13
