mode,rho,K,S_tot,S_true,S_dir_all,lynn_metric,phi_direct,nll_gap
binary,0.5,320,0.6106280088424683,0.0537351593375206,0.5497797131538391,0.09964871379545084,0.10926391987744233,0.49345818907022476
gaussian,0.5,320,0.677807629108429,0.017199696972966194,0.6807901263237,-0.004400211929148832,-0.0045147765719825055,0.6391527429223061
uniform,0.5,320,0.6059352159500122,0.15559697151184082,0.6077679395675659,-0.0030246197436804944,-0.004069660172522462,0.44414225220680237
lognormal,0.5,320,0.6057586669921875,0.017758779227733612,0.515315055847168,0.149306342729036,0.1538156945724626,0.4812774434685707
half_normal,0.5,320,0.6064389944076538,0.03226576745510101,0.5927909016609192,0.022505302054439208,0.023769991539264925,0.5497365035116673
exponential,0.5,320,0.6041556596755981,0.014128664508461952,0.5329502820968628,0.11785932389836278,0.12068155891505455,0.4903843328356743
chi2,0.5,320,0.8815107941627502,0.013259968720376492,0.8726323246955872,0.01007187833201267,0.010225696546432312,0.8379366546869278
