mode,rho,n,S_dir,lynn_metric,phi_direct,input_added
binary,0.5,0,0.6106280088424683,0.0,0.0,-1
binary,0.5,1,0.5933653116226196,0.02827039862218655,0.030998238234149322,19
binary,0.5,2,0.5845456123352051,0.04271405197528697,0.04683557443851047,274
binary,0.5,3,0.5791608691215515,0.05153242115533999,0.05650483705957007,174
binary,0.5,4,0.5754863619804382,0.057550008111560406,0.06310306712192364,154
binary,0.5,5,0.5729032754898071,0.06178022102879575,0.0677414576003206,297
binary,0.5,6,0.5710094571113586,0.0648816483315467,0.07114214478840715,170
binary,0.5,7,0.5695491433143616,0.06727314327748818,0.07376439752211565,223
binary,0.5,8,0.5684466361999512,0.06907867315565469,0.07574414482070367,184
binary,0.5,9,0.5675616264343262,0.07052801670493385,0.07733333700805485,168
binary,0.5,10,0.5668187141418457,0.07174465315416709,0.07866736794980762,95
binary,0.5,11,0.5662177205085754,0.07272887533947027,0.07974655873813345,187
binary,0.5,12,0.5657018423080444,0.07357370753363857,0.08067290965283742,270
binary,0.5,13,0.565261721611023,0.07429447482673375,0.08146322451756001,295
binary,0.5,14,0.564887285232544,0.07490767365328087,0.08213559152462764,96
binary,0.5,15,0.5644868016242981,0.0755635289407005,0.08285473095800672,236
binary,0.5,16,0.5641356706619263,0.07613856146015116,0.08348524895205883,305
binary,0.5,17,0.5638229846954346,0.07665063421469846,0.08404673212924393,175
binary,0.5,18,0.5635450482368469,0.07710579915073622,0.08454581639443914,29
binary,0.5,19,0.5632418394088745,0.07760235159114456,0.0850902816865361,307
binary,0.5,20,0.5629662275314331,0.07805370965767654,0.08558519175350214,3
binary,0.5,21,0.5626851320266724,0.07851404803176061,0.08608994864706007,273
binary,0.5,22,0.5624303817749023,0.07893124188477914,0.08654739796068743,161
binary,0.5,23,0.5621969103813171,0.07931358824001394,0.08696663730590931,268
binary,0.5,24,0.5619548559188843,0.07970999072880858,0.08740128907536197,82
binary,0.5,25,0.5617439150810242,0.08005543973344885,0.08778007080697808,317
binary,0.5,26,0.5615200400352478,0.08042207055046748,0.08818207820566416,157
binary,0.5,27,0.561316967010498,0.08075463476601126,0.08854673188173538,281
binary,0.5,28,0.5611083507537842,0.08109627690114575,0.08892133941512231,248
binary,0.5,29,0.5609090328216553,0.08142269155825711,0.08927925015559257,252
binary,0.5,30,0.5607147216796875,0.08174090680412524,0.08962817031526153,150
binary,0.5,31,0.5605126619338989,0.08207181161501266,0.08999100446902773,276
binary,0.5,32,0.5603272318840027,0.08237548266712792,0.0903239770508468,319
binary,0.5,33,0.5601510405540466,0.08266402385325865,0.09064035987047302,240
binary,0.5,34,0.5599698424339294,0.08296076445063261,0.09096573327090053,314
binary,0.5,35,0.5597931146621704,0.08325018414511083,0.09128307936704116,146
binary,0.5,36,0.5596210360527039,0.08353199010057749,0.09159207706672348,42
binary,0.5,37,0.5594538450241089,0.08380579186887814,0.09189229824705214,27
binary,0.5,38,0.5592886209487915,0.08407637243990466,0.09218898741349459,10
binary,0.5,39,0.5591296553611755,0.08433670374687714,0.09247443835393543,99
binary,0.5,40,0.5589655637741089,0.08460542968917008,0.0927690939366252,24
binary,0.5,41,0.5588105320930481,0.08485931860159432,0.09304748084929361,5
binary,0.5,42,0.5586510896682739,0.08512043080487568,0.09333378803552506,167
binary,0.5,43,0.5585049986839294,0.08535967791150843,0.09359612033961973,255
binary,0.5,44,0.5583550930023193,0.08560517218861223,0.09386530261003918,215
binary,0.5,45,0.5582110285758972,0.08584110048593226,0.09412399586952382,41
binary,0.5,46,0.5580676198005676,0.08607595505082756,0.09438151179104638,58
binary,0.5,47,0.5579310059547424,0.08629968184332136,0.0946268262100529,149
binary,0.5,48,0.5577910542488098,0.0865288749099773,0.09487813434959362,16
binary,0.5,49,0.5576561093330383,0.08674986856539,0.09512045190833306,160
binary,0.5,50,0.5575242638587952,0.08696578639479502,0.0953572038694336,193
binary,0.5,320,0.5497797131538391,0.09964871379545084,0.10926391987744233,-1
gaussian,0.5,0,0.677807629108429,0.0,0.0,-1
gaussian,0.5,1,0.6818461418151855,-0.005958198953984554,-0.00611332760371467,25
