mode,rho,out_rate,Stot,Strue,Sdir,Sint,Itrue,Idir,Iint,phi_direct,phi_int,nll_direct,nll_int,nll_true,nll_gap
half_normal,0.2,0.14998100697994232,0.6097927689552307,0.0903761088848114,0.5876016616821289,0.09095750004053116,0.5194166600704193,0.022191107273101807,0.5188352689146996,0.04272313342836033,0.9988806844284877,0.5868108868598938,0.0903816893696785,0.09028623253107071,0.4964291974902153
half_normal,0.3,0.15045200288295746,0.6109703183174133,0.08861304819583893,0.5701835751533508,0.08899450302124023,0.5223572701215744,0.0407867431640625,0.5219758152961731,0.07808208193325177,0.9992697434357284,0.5710383653640747,0.08895540237426758,0.08885597437620163,0.48208296298980713
half_normal,0.5,0.1494860053062439,0.6085525155067444,0.08325273543596268,0.5158071517944336,0.08262401819229126,0.5252997800707817,0.09274536371231079,0.5259284973144531,0.17655701987884667,1.0011968732284386,0.513870358467102,0.08280092477798462,0.08271553367376328,0.43106943368911743
half_normal,0.7,0.15014399588108063,0.6102005243301392,0.07739898562431335,0.44084158539772034,0.07657714188098907,0.5328015387058258,0.16935893893241882,0.5336233824491501,0.31786495839293455,1.0015424950635852,0.4424631893634796,0.0774989053606987,0.07739529013633728,0.3649642840027809
half_normal,0.9,0.15007099509239197,0.6100179553031921,0.06808282434940338,0.36866962909698486,0.06800919026136398,0.5419351309537888,0.24134832620620728,0.5420087650418282,0.445345415753804,1.0001358725128409,0.3672949969768524,0.06781696528196335,0.06773664802312851,0.29947803169488907
exponential,0.0,0.15029199421405792,0.6105705499649048,0.03406524285674095,0.5844876170158386,0.03416726738214493,0.5765053071081638,0.026082932949066162,0.5764032825827599,0.04524317925172627,0.9998230293387658,0.584942102432251,0.03409970551729202,0.03401729837059975,0.550842396914959
exponential,0.1,0.14982600510120392,0.6094046831130981,0.03338780626654625,0.5611924529075623,0.03311958536505699,0.5760168768465519,0.04821223020553589,0.5762850977480412,0.08369933615396376,1.000465647643794,0.5600849986076355,0.03317474573850632,0.03308280557394028,0.5269102528691292
exponential,0.2,0.1505970060825348,0.6113322973251343,0.03372577950358391,0.5349125266075134,0.03342883288860321,0.5776065178215504,0.07641977071762085,0.5779034644365311,0.1323042042632048,1.000514098449063,0.5341605544090271,0.03365655988454819,0.033546771854162216,0.5005039945244789
exponential,0.3,0.1503780037164688,0.6107854247093201,0.03458179160952568,0.5065957903862,0.034338150173425674,0.5762036330997944,0.10418963432312012,0.5764472745358944,0.1808208562702263,1.000422839118159,0.5087690353393555,0.03445294126868248,0.03433340787887573,0.474316094070673
exponential,0.5,0.15040400624275208,0.6108503937721252,0.03887958824634552,0.4513629972934723,0.038707341998815536,0.5719708055257797,0.15948739647865295,0.5721430517733097,0.27883835142957236,1.0003011451736101,0.4504685401916504,0.039119306951761246,0.03898020461201668,0.41134923323988914
exponential,0.7,0.1491059958934784,0.6075985431671143,0.04548266530036926,0.3887157142162323,0.04555881395936012,0.562115877866745,0.21888282895088196,0.5620397292077541,0.3893909380065052,0.9998645320974033,0.38891473412513733,0.04545506462454796,0.04536934196949005,0.34345966950058937
exponential,0.9,0.1503169983625412,0.6106330156326294,0.05226130411028862,0.2987979054450989,0.05237186700105667,0.5583717115223408,0.3118351101875305,0.5582611486315727,0.5584722573737582,0.9998019905226455,0.29892343282699585,0.052680376917123795,0.05255201458930969,0.24624305590987206
chi2,0.0,0.15832599997520447,0.6302897930145264,0.0184285007417202,0.5866756439208984,0.018421975895762444,0.6118612922728062,0.04361414909362793,0.6118678171187639,0.07128110512044289,1.0000106639299464,0.5886383652687073,0.018843119964003563,0.018670178949832916,0.5697952453047037
chi2,0.1,0.15540100634098053,0.6231928467750549,0.018039293587207794,0.5796079635620117,0.017580779269337654,0.6051535531878471,0.04358488321304321,0.6056120675057173,0.07202284938003814,1.0007576826004818,0.5771418809890747,0.018234560266137123,0.01815013401210308,0.5589073207229376
chi2,0.2,0.15264299511909485,0.6164150238037109,0.017502008005976677,0.5577878952026367,0.01747235842049122,0.5989130157977343,0.05862712860107422,0.5989426653832197,0.09788922106323676,1.0000495056622638,0.5575195550918579,0.017109820619225502,0.017022207379341125,0.5404097344726324
chi2,0.3,0.1498199999332428,0.60938960313797,0.01678241789340973,0.5325213670730591,0.016766859218478203,0.5926071852445602,0.07686823606491089,0.5926227439194918,0.12971195418966866,1.0000262546174243,0.5320471525192261,0.01687249168753624,0.01671694964170456,0.5151746608316898
chi2,0.5,0.14956499636173248,0.608750581741333,0.016929086297750473,0.47564756870269775,0.016820859163999557,0.5918214954435825,0.13310301303863525,0.5919297225773335,0.22490398551487517,1.0001828712451037,0.4743400812149048,0.01687629334628582,0.016730833798646927,0.45746378786861897
chi2,0.7,0.15018999576568604,0.6103155612945557,0.018728509545326233,0.3887040615081787,0.01862501911818981,0.5915870517492294,0.22161149978637695,0.5916905421763659,0.37460505454118165,1.0001749369375654,0.3885074853897095,0.018794355913996696,0.01866278238594532,0.3697131294757128
chi2,0.9,0.1502310037612915,0.6104180812835693,0.022114519029855728,0.22640442848205566,0.021783648058772087,0.5883035622537136,0.38401365280151367,0.5886344332247972,0.6527474546140904,1.0005624153792578,0.22531536221504211,0.022442104294896126,0.022301770746707916,0.202873257920146
